,Company,Name,Model,Kms_Driven,Model Year,Reg Year,City,Engine Capacity,Insurance,Automatic,Power,Fuel Type,Ownership,Number of Seats,Mileage,X-factor,Price
3844,Maruti,Wagon,"['R', 'VXI']",21533,2020,2020,Ahmedabad,998,1,False,67.05,0,1,5,21.79,Hatchback,496000
3845,Maruti,Wagon,"['R', 'VXI', 'AMT', 'Opt', '1.2']",11124,2020,2020,Ahmedabad,1197,1,True,81.8,0,1,5,20.52,Hatchback,587000
3846,Hyundai,Xcent,"['1.2', 'VTVT', 'S', 'AT']",37610,2019,2019,Ahmedabad,1197,3,True,81.86,0,1,5,17.36,Sedan,672000
3847,Hyundai,EON,"['Era', 'Plus']",78450,2018,2018,Ahmedabad,814,1,False,55.2,0,2,5,21.1,Hatchback,310000
3849,Maruti,Baleno,"['1.2', 'CVT', 'Delta']",65008,2018,2018,Ahmedabad,1197,1,True,83.1,0,1,5,21.4,Hatchback,595000
3850,Nissan,Micra,"['Active', 'XL', 'Petrol']",34301,2013,2013,Ahmedabad,1198,1,False,67.04,0,1,5,19.49,Hatchback,256999
3851,Jeep,Compass,"['1.4', 'Limited']",75451,2017,2017,Ahmedabad,1368,1,True,160.0,0,2,5,16.0,SUV,1003999
3852,Tata,Tigor,"['1.2', 'Revotron', 'XZ']",87012,2018,2018,Ahmedabad,1199,2,False,84.0,0,1,5,20.3,Sedan,484000
3853,Hyundai,i20,"['Sportz', '1.2']",103384,2015,2015,Ahmedabad,1197,1,False,81.83,0,1,5,18.6,Hatchback,508000
3854,Hyundai,EON,"['Era', 'Plus']",63608,2018,2018,Ahmedabad,814,3,False,55.2,0,1,5,21.1,Hatchback,317000
3855,Maruti,Vitara,"['Brezza', 'ZXI', 'Plus', 'AT']",46560,2020,2021,Ahmedabad,1462,1,True,103.26,0,1,5,18.76,SUV,981000
3856,Maruti,800,['AC'],60000,2004,2004,Ahmedabad,796,1,False,37.0,0,4,4,16.1,Hatchback,35000
3857,Mahindra,XUV500,"['W6', '2WD']",100000,2013,2013,Ahmedabad,2179,1,False,140.0,1,2,7,15.1,SUV,420000
3858,Maruti,Wagon,"['R', 'VXI', 'BS', 'IV']",100000,2015,2015,Ahmedabad,998,1,False,67.04,0,2,5,20.51,Hatchback,280000
3859,Maruti,Wagon,"['R', 'LXI', 'BS', 'IV']",120000,2014,2014,Ahmedabad,998,1,False,67.04,0,2,5,20.51,Hatchback,260000
3860,Hyundai,EON,"['D', 'Lite', 'Plus']",100000,2013,2013,Ahmedabad,814,1,False,55.2,0,3,5,21.1,Hatchback,229999
3861,Maruti,SX4,"['S', 'Cross', 'Zeta', 'DDiS', '200', 'SH']",50000,2018,2018,Ahmedabad,1248,1,False,88.5,1,1,5,25.1,SUV,795000
3862,Maruti,Zen,"['Estilo', 'LXI']",110000,2011,2011,Ahmedabad,998,1,False,67.1,0,2,5,19.0,Hatchback,130000
3863,Hyundai,Santro,"['Xing', 'GLS', 'CNG']",120000,2010,2010,Ahmedabad,1086,1,False,62.1,2,4,5,11.88,Hatchback,175000
3864,Maruti,Ignis,"['1.2', 'Delta', 'BSIV']",40244,2018,2019,Ahmedabad,1197,2,False,81.8,0,1,5,20.89,Hatchback,463999
3865,Maruti,Eeco,"['5', 'Seater', 'AC', 'BSIV']",24233,2016,2016,Ahmedabad,1196,3,False,73.0,0,1,5,15.37,Minivans,424000
3866,Hyundai,Grand,"['i10', '1.2', 'Kappa', 'Sportz', 'Option', 'AT']",81811,2017,2017,Ahmedabad,1197,2,True,81.86,0,1,5,18.9,Hatchback,525000
3867,Hyundai,EON,"['D', 'Lite', 'Plus']",76516,2016,2017,Ahmedabad,814,1,False,55.2,0,1,5,21.1,Hatchback,284000
3868,Maruti,Baleno,"['1.2', 'Delta']",15650,2019,2019,Ahmedabad,1197,3,False,83.1,0,1,5,21.4,Hatchback,650000
3869,Hyundai,Grand,"['i10', '1.2', 'Kappa', 'Era']",61072,2017,2018,Ahmedabad,1197,3,False,81.86,0,1,5,17.0,Hatchback,438000
3870,Hyundai,i20,"['Asta', '1.2']",107493,2014,2014,Ahmedabad,1197,1,False,81.83,0,1,5,18.6,Hatchback,546000
3871,MG,Hector,"['Sharp', 'Diesel', 'MT', 'BSIV']",85590,2021,2021,Ahmedabad,1956,1,False,167.68,1,1,5,17.41,SUV,1591000
3872,Honda,City,"['i', 'VTEC', 'V']",102761,2015,2015,Ahmedabad,1497,3,False,117.3,0,1,5,17.4,Sedan,586000
3873,Tata,Tiago,"['XZA', 'Plus']",54865,2019,2020,Ahmedabad,1199,1,True,83.83,0,1,5,23.84,Hatchback,561000
3874,Maruti,Swift,['VDI'],80714,2013,2013,Ahmedabad,1248,2,False,74.0,1,1,5,22.9,Hatchback,409999
3875,Hyundai,Creta,"['1.6', 'SX', 'Diesel']",121406,2018,2018,Ahmedabad,1582,2,False,126.2,1,1,5,20.5,SUV,968000
3876,Hyundai,i20,"['1.2', 'Magna']",80000,2010,2010,Ahmedabad,1197,1,False,80.0,0,2,5,18.5,Hatchback,260000
3879,Maruti,Zen,"['Estilo', 'LX', 'BSIV']",80000,2012,2012,Ahmedabad,998,1,False,67.1,0,1,5,19.0,Hatchback,200000
3880,Chevrolet,Beat,['Diesel'],60000,2013,2013,Ahmedabad,936,1,False,57.6,1,2,5,25.44,Hatchback,140000
3881,Nissan,Magnite,"['XV', 'BSVI']",20000,2021,2021,Ahmedabad,999,1,False,71.02,0,1,5,18.75,SUV,651000
3882,Nissan,Magnite,"['XV', 'BSVI']",30000,2021,2021,Ahmedabad,999,1,False,71.02,0,1,5,18.75,SUV,650000
3883,Maruti,Eeco,"['Cargo', 'STD', 'CNG', 'AC', '2021-2022']",40000,2021,2021,Ahmedabad,1196,1,False,61.68,2,1,2,26.55,Cars,555000
3884,Hyundai,i20,"['1.2', 'Magna']",123488,2011,2011,Ahmedabad,1197,2,False,80.0,0,2,5,18.5,Hatchback,250000
3885,Hyundai,Xcent,"['1.2', 'Kappa', 'S', 'Celebration', 'Edition']",36225,2016,2016,Ahmedabad,1197,3,False,82.0,0,1,5,19.1,Sedan,588000
3886,Mahindra,KUV,"['100', 'mFALCON', 'G80', 'K4']",49453,2017,2017,Ahmedabad,1198,1,False,82.0,0,1,6,18.15,SUV,371000
3887,Hyundai,i10,"['Magna', '1.1L']",33048,2014,2015,Ahmedabad,1086,2,False,68.05,0,1,5,19.81,Hatchback,351000
3888,Tata,Tiago,"['XZ', 'Plus']",23159,2020,2020,Ahmedabad,1199,1,False,83.83,0,1,5,23.84,Hatchback,602000
3889,Tata,Altroz,"['XM', 'plus', 'BSVI']",23436,2021,2021,Ahmedabad,1199,1,False,86.83,0,1,5,19.33,Hatchback,713000
3890,Hyundai,Grand,"['i10', '1.2', 'Kappa', 'Sportz', 'BSIV']",47108,2017,2017,Ahmedabad,1197,1,False,81.86,0,1,5,18.9,Hatchback,467000
3891,Maruti,Ignis,"['1.2', 'Sigma', 'BSIV']",60373,2018,2018,Ahmedabad,1197,2,False,81.8,0,1,5,20.89,Hatchback,442000
3892,Maruti,Swift,"['Dzire', 'VDI']",85437,2014,2015,Ahmedabad,1248,1,False,74.0,1,1,5,23.4,Sedan,467000
3893,Honda,Brio,"['VX', 'AT']",94297,2013,2013,Ahmedabad,1198,2,True,86.8,0,1,5,16.5,Hatchback,358000
